#itr,#feature,lrate,regUser,regItem,regBias,regGlbAvg,regSocial,RMSE(R),RMSE(Test)
1,10,0.009,0.0015,0.0015,0.01,0.01,5,0.726288160270219,1.70284250652578
2,10,0.009,0.0015,0.0015,0.01,0.01,5,0.978154861014633,1.42362985372954
3,10,0.009,0.0015,0.0015,0.01,0.01,5,0.967462764878796,1.23021583384207
4,10,0.009,0.0015,0.0015,0.01,0.01,5,0.891045156765935,1.10107185144238
5,10,0.009,0.0015,0.0015,0.01,0.01,5,0.81082249815205,1.02400459506825
6,10,0.009,0.0015,0.0015,0.01,0.01,5,0.754559820429189,0.975834314352407
7,10,0.009,0.0015,0.0015,0.01,0.01,5,0.719188354848835,0.942498846684324
8,10,0.009,0.0015,0.0015,0.01,0.01,5,0.696420209741657,0.918615637152524
9,10,0.009,0.0015,0.0015,0.01,0.01,5,0.680542547960359,0.900898842777277
10,10,0.009,0.0015,0.0015,0.01,0.01,5,0.668415406630322,0.887286343243572
11,10,0.009,0.0015,0.0015,0.01,0.01,5,0.658436405048548,0.876557602464484
12,10,0.009,0.0015,0.0015,0.01,0.01,5,0.64970105416356,0.867957003816421
13,10,0.009,0.0015,0.0015,0.01,0.01,5,0.641739481752605,0.860962793206808
14,10,0.009,0.0015,0.0015,0.01,0.01,5,0.634289001848321,0.855217383006415
15,10,0.009,0.0015,0.0015,0.01,0.01,5,0.627186474754609,0.850473766644504
16,10,0.009,0.0015,0.0015,0.01,0.01,5,0.620327672467294,0.846551306358918
17,10,0.009,0.0015,0.0015,0.01,0.01,5,0.613647554447187,0.843311255283997
18,10,0.009,0.0015,0.0015,0.01,0.01,5,0.607108837199424,0.840644246118987
19,10,0.009,0.0015,0.0015,0.01,0.01,5,0.600692854493175,0.83846264878591
20,10,0.009,0.0015,0.0015,0.01,0.01,5,0.594390741267291,0.836695292771738
21,10,0.009,0.0015,0.0015,0.01,0.01,5,0.5881976334212,0.835283761296509
22,10,0.009,0.0015,0.0015,0.01,0.01,5,0.582111174613756,0.834179713916138
23,10,0.009,0.0015,0.0015,0.01,0.01,5,0.576132258165501,0.833342834692862
24,10,0.009,0.0015,0.0015,0.01,0.01,5,0.570265223696815,0.832739211676628
25,10,0.009,0.0015,0.0015,0.01,0.01,5,0.564516423791304,0.832340072680294
26,10,0.009,0.0015,0.0015,0.01,0.01,5,0.558892106959545,0.832120808913677
27,10,0.009,0.0015,0.0015,0.01,0.01,5,0.553396967176443,0.83206020435275
28,10,0.009,0.0015,0.0015,0.01,0.01,5,0.548033712847844,0.832139807837352
29,10,0.009,0.0015,0.0015,0.01,0.01,5,0.542803253133373,0.832343416689626
30,10,0.009,0.0015,0.0015,0.01,0.01,5,0.537705082760483,0.832656659186818
31,10,0.009,0.0015,0.0015,0.01,0.01,5,0.532737668481777,0.833066667751332
32,10,0.009,0.0015,0.0015,0.01,0.01,5,0.527898776541027,0.833561833736187
33,10,0.009,0.0015,0.0015,0.01,0.01,5,0.523185726445966,0.834131632678813
34,10,0.009,0.0015,0.0015,0.01,0.01,5,0.518595572379255,0.834766506699822
35,10,0.009,0.0015,0.0015,0.01,0.01,5,0.514125224382211,0.835457788752534
36,10,0.009,0.0015,0.0015,0.01,0.01,5,0.509771526113563,0.836197652617824
37,10,0.009,0.0015,0.0015,0.01,0.01,5,0.505531301777468,0.836979073768798
38,10,0.009,0.0015,0.0015,0.01,0.01,5,0.501401377012251,0.837795789696378
39,10,0.009,0.0015,0.0015,0.01,0.01,5,0.49737857619789,0.838642253227754
40,10,0.009,0.0015,0.0015,0.01,0.01,5,0.493459704982527,0.839513577302831
41,10,0.009,0.0015,0.0015,0.01,0.01,5,0.489641535098963,0.840405473189461
42,10,0.009,0.0015,0.0015,0.01,0.01,5,0.485920808466163,0.841314185700443
43,10,0.009,0.0015,0.0015,0.01,0.01,5,0.482294266194951,0.842236429086539
44,10,0.009,0.0015,0.0015,0.01,0.01,5,0.478758693205244,0.843169326694797
45,10,0.009,0.0015,0.0015,0.01,0.01,5,0.475310961413585,0.84411035666505
46,10,0.009,0.0015,0.0015,0.01,0.01,5,0.471948057812511,0.845057304997081
47,10,0.009,0.0015,0.0015,0.01,0.01,5,0.468667093630314,0.846008226307156
48,10,0.009,0.0015,0.0015,0.01,0.01,5,0.465465299544506,0.846961411671833
49,10,0.009,0.0015,0.0015,0.01,0.01,5,0.462340015155051,0.84791536233573
50,10,0.009,0.0015,0.0015,0.01,0.01,5,0.459288679072301,0.84886876783473
